🤸🏻‍♀	[233.56400679117147, 236.94012450481043, 238.4811544991511]
🇲🇳	[117.18849206349206, 109.58008658008659, 155.19065656565655]
🚰	[231.01009995835068, 227.98396501457725, 222.83642232403164]
💁🏽‍♀	[148.0186011904762, 138.81909013605443, 173.81335034013605]
🦰	[78.43719512195122, 175.94283536585365, 238.5094512195122]
🇲🇻	[101.59397546897547, 107.0414862914863, 144.96626984126985]
🪐	[186.49283854166666, 207.54090711805554, 213.3271484375]
🔓	[194.31892961266138, 214.70605997501042, 216.5588296543107]
🍤	[155.06828050369083, 190.1084455058619, 240.82978723404256]
🙀	[141.5552902875746, 197.79207813347801, 221.53988062940857]
🇵🇷	[141.99963924963924, 121.05104617604617, 169.9179292929293]
🔟	[194.24854227405248, 175.58756768013328, 153.08881715951688]
🗓	[209.7246980424823, 209.41003748438152, 220.7899833402749]
🆙	[191.52186588921282, 171.8154935443565, 148.08538109121199]
✍	[151.91812275985663, 201.15412186379928, 226.25795250896059]
🍄	[165.5926976249557, 175.28287841191067, 234.9971641261964]
🙅‍♀	[146.77297417137788, 160.65879614233455, 197.01884491741492]
🔉	[172.52221074380165, 170.0206611570248, 166.01007231404958]
🧑🏽‍🚀	[150.6456400742115, 162.9583719851577, 174.16987476808904]
🧚🏿‍♂️	[208.28054397894275, 220.28701469620532, 202.27615705198508]
👨🏾‍⚖	[130.70601503759397, 144.2295739348371, 164.437343358396]
💂🏽‍♀️	[101.71148782093482, 108.75493745885451, 121.63610928242265]
🥬	[120.60474014241683, 178.41067063449887, 122.59336805186524]
👩🏾‍🤝‍👩🏼	[176.176853215513, 182.18875797741777, 202.20054000981835]
📿	[207.2037793667007, 206.36733912155262, 227.37538304392237]
💂🏾	[96.60254265640683, 103.96704583472733, 117.37102709936434]
🏻	[207.67949298325033, 228.76641014033498, 249.60706201901314]
🕵️	[144.32524044100398, 173.73868167956837, 186.3266479005395]
👱🏾‍♂️	[121.9859693877551, 151.7732142857143, 178.46772959183673]
👁️‍🗨	[153.67362247681396, 157.8516775777414, 163.8256273867976]
🧙🏼	[161.921996124031, 175.16000484496124, 183.00290697674419]
🦸	[148.94821154268158, 174.40114110160192, 215.63791968400264]
🧗🏾‍♀	[165.82414965986393, 172.52154195011337, 182.1187074829932]
👩🏿‍🤝‍👨🏻	[172.2248861184368, 172.92232078638216, 184.30484296331815]
📆	[168.2640566430654, 168.17909204498125, 189.0735110370679]
🚂	[163.71481717687075, 169.375, 195.29347363945578]
🐒	[176.00385256143272, 198.3991045397751, 216.7673885880883]
🚶🏼‍♀	[206.20767807585568, 197.55296022201665, 209.53469010175763]
🕤	[219.33996251561848, 218.37203248646398, 217.3584964598084]
👩🏾‍🦲	[116.86771368166717, 137.65886439142253, 170.0990637269707]
👳🏻	[192.77901847256686, 204.2706093189964, 216.34932451061482]
⤴️	[191.30226988754686, 171.08090379008746, 146.7298000832986]
🧘🏿‍♂️	[162.89692671394798, 171.86548463356974, 189.28983451536644]
🚵‍♀️	[131.98250728862973, 145.89952103290295, 168.8576634735527]
🏃🏻‍♂	[223.14204314204315, 220.43237009903677, 233.2177452177452]
🙆🏼‍♀	[155.88577675968347, 131.0566430653894, 173.0988129945856]
👇🏽	[176.22321428571428, 193.1712962962963, 217.88458994708995]
⚖	[171.28450292397662, 171.28450292397662, 171.28216374269005]
🤶	[156.38934056007227, 200.09756097560975, 225.77356218006625]
🦻	[137.66197183098592, 204.7659574468085, 233.87488762361403]
🏋️‍♂	[201.03908206651522, 209.08899761197506, 212.0262100297047]
🧖‍♂	[199.91110877340628, 227.50915211445403, 234.13349463496738]
👐🏿	[142.92268445839875, 148.09222919937207, 159.46153846153845]
🏍	[175.9411578112609, 175.8001586042823, 174.35574940523395]
🧑‍🔬	[161.35358342665174, 209.06298992161254, 223.47172452407614]
🇷🇺	[162.1852453102453, 138.65277777777777, 156.56222943722943]
🙌🏽	[188.7981740064447, 202.09140708915146, 221.58764769065522]
🧚🏼‍♀	[216.1189953937267, 225.1066023250713, 219.75838999780655]
✍🏼	[183.6070788530466, 199.95799731182797, 219.7810259856631]
✍🏿	[150.92181899641577, 154.51377688172042, 162.74406362007167]
🌪	[218.01696983141082, 213.0129769299024, 211.32287045252883]
🙆🏽‍♂️	[162.7658267388588, 145.74510620574762, 134.32642648896294]
🗣	[206.79717741935485, 189.61478494623657, 170.55241935483872]
🚵🏿‍♂	[147.9610772143909, 152.42341678939616, 151.11014096360194]
✋🏼	[194.1213794796269, 213.9007118311242, 236.5450417280314]
🧑🏾	[104.56657894736843, 120.77171052631579, 146.56513157894736]
🐢	[166.02302631578948, 196.01934210526315, 180.2888157894737]
💂🏼‍♀️	[104.6647465437788, 112.51201448321264, 125.6221198156682]
🐎	[186.8031746031746, 198.2965986394558, 200.7501133786848]
◀️	[193.09194085797586, 173.61276551436902, 150.15566430653894]
🆗	[193.22646813827572, 174.10839233652644, 151.07028321532695]
👨‍🔧	[153.63066012002182, 192.9694489907256, 207.3011456628478]
🔆	[191.29623073719284, 232.9826114119117, 253.06080799666805]
🤖	[186.18668687634204, 184.29682960717443, 159.13035240621448]
〰	[198.07363636363635, 198.07363636363635, 198.07136363636363]
👨‍🔬	[156.6823908174692, 207.95716685330348, 222.83860582306832]
🏄🏽‍♀️	[201.69062092922275, 204.97850629613546, 224.32881024750327]
😁	[142.71886713869222, 209.7746772178259, 238.17149104539774]
🥽	[215.6742308863844, 215.6576302162656, 213.805665549802]
🥡	[213.749787414966, 212.76031037414967, 217.10352891156464]
🙆🏻‍♂	[177.0811120366514, 158.14743856726363, 142.0371720116618]
🇲🇴	[128.78697691197692, 143.26785714285714, 80.41540404040404]
🧗‍♀	[166.24868149506995, 185.22838798440725, 197.83077275854163]
💡	[217.89528130671508, 238.32704174228675, 245.32050816696915]
⛹️‍♂️	[200.39784453107086, 213.49059848658564, 216.51639532217382]
🏌	[204.22040343915344, 215.45271164021165, 219.619708994709]
✳	[189.61618959679902, 189.61618959679902, 189.61588180978762]
🧜🏼	[209.22063386524823, 205.50709219858157, 209.70755762411346]
🇦🇩	[107.11183261183261, 127.71753246753246, 177.4265873015873]
🟩	[33.725322782174096, 186.31674302374012, 34.36130778842149]
👼	[145.24500887311447, 211.303793256433, 236.5720940550133]
🏄🏾‍♂️	[195.76574033868866, 212.70570994355188, 188.2618323925315]
😞	[132.3789046230737, 213.7417742607247, 246.34558517284464]
👨🏻‍🦯	[220.74075374531836, 217.6754447565543, 225.7256554307116]
🧑🏿‍🦰	[89.68921052631579, 114.90065789473684, 161.1142105263158]
🚶🏿‍♂️	[189.20147368421053, 181.14231578947368, 192.91515789473684]
🦹🏽‍♂️	[121.24984220492321, 114.18230591205554, 136.85356616873554]
❗	[112.24444444444444, 112.19814814814815, 235.50648148148147]
🤹🏽‍♂️	[177.53116758571085, 187.8187485015584, 194.0396787341165]
🤦‍♀️	[119.70166210814223, 168.09446665264045, 211.7993898590364]
🧗🏽‍♀️	[170.6968253968254, 178.28219954648526, 189.64512471655328]
💆🏻	[183.72482619421396, 197.04014352993946, 213.4534649024445]
🕖	[219.3058100791337, 218.33423573511038, 217.32059558517284]
🔠	[191.5039566847147, 171.85870470637235, 148.22667638483966]
🍅	[94.86145099493264, 124.64429613150413, 213.05883079965395]
🇨🇴	[103.31150793650794, 141.83261183261183, 174.93253968253967]
