👽	[186.08001373626374, 181.8018543956044, 176.6198489010989]
👏🏻	[193.23199672667758, 226.13829787234042, 241.62152209492635]
⤴️	[245.64030612244898, 175.34151785714286, 116.74872448979592]
🇷🇼	[149.49555555555557, 175.6114814814815, 119.6362962962963]
🇶🇦	[142.28703703703704, 118.69166666666666, 188.73194444444445]
💀	[202.82486263736263, 202.82486263736263, 202.82486263736263]
🦹🏽‍♂	[179.1169590643275, 145.74143692564746, 162.53508771929825]
🔊	[201.98533163265307, 204.27232142857142, 204.20758928571428]
🏊🏾‍♀️	[224.1610845295056, 169.37480063795854, 155.21491228070175]
↗️	[245.94961734693877, 170.91804846938774, 109.38552295918367]
4⃣	[240.19483418367346, 198.55803571428572, 144.046875]
🚂	[123.56412337662337, 149.6619318181818, 199.91355519480518]
🧜🏾‍♀️	[213.62063492063493, 177.43333333333334, 224.06071428571428]
✔	[206.27136479591837, 206.27136479591837, 206.27136479591837]
🧑🏿‍🔧	[175.6033163265306, 139.5172193877551, 150.92857142857142]
🦑	[188.13199665831246, 189.28696741854637, 244.19757727652464]
🧑🏼‍⚖	[126.63032581453633, 168.5219298245614, 185.85401002506265]
🧑‍⚖️	[100.57738095238095, 154.4138471177945, 175.5031328320802]
🏋🏾‍♂	[212.15194235588973, 216.7825814536341, 212.12312030075188]
🏊🏻‍♀️	[238.08931419457736, 183.41666666666666, 166.3409090909091]
🌭	[157.74141483516485, 209.5679945054945, 239.99828296703296]
🇨🇴	[84.61259259259259, 145.37444444444444, 193.87444444444444]
🍃	[193.10770440251574, 224.50432389937106, 200.5243710691824]
💜	[201.0104588394062, 101.81882591093117, 187.51990553306342]
🙅🏽	[123.97385204081633, 160.3453443877551, 199.34438775510205]
☝️	[111.39289012003694, 225.00415512465375, 249.7793167128347]
👆🏻	[200.33400974025975, 231.54058441558442, 246.2041396103896]
✨	[213.08218181818182, 251.18254545454545, 249.35090909090908]
🧙🏾	[170.62468112244898, 139.39030612244898, 167.09119897959184]
🛀🏻	[227.7627551020408, 228.11479591836735, 227.19260204081633]
📘	[205.14518633540374, 80.08773291925466, 110.86723602484471]
🤵🏻	[167.20126488095238, 179.61495535714286, 186.31138392857142]
👩🏾‍🚒	[93.06413994169097, 132.173833819242, 206.2445335276968]
🧎‍♀️	[198.86076555023922, 196.59856459330143, 209.0645933014354]
👮🏻‍♀️	[178.6367857142857, 142.30357142857142, 164.39928571428572]
🔶	[128.18207908163265, 208.88073979591837, 250.67920918367346]
👨🏾‍🏫	[126.9765037593985, 141.4674185463659, 123.1171679197995]
🇻🇦	[137.3255928853755, 240.47924901185772, 240.20256916996047]
🧎🏽‍♀	[206.70909090909092, 193.63923444976078, 205.5995215311005]
🇳🇴	[110.46, 93.66074074074074, 206.17111111111112]
👸🏻	[173.88140161725067, 188.21125336927224, 191.48450134770889]
🧜🏼‍♂️	[214.57273391812865, 228.28399122807016, 208.10709064327486]
👩🏼‍⚕	[153.95870535714286, 195.33519345238096, 203.91517857142858]
🇾🇪	[123.72851851851851, 121.81185185185186, 176.09925925925927]
👩‍🎤	[129.07362155388472, 147.0949248120301, 183.23778195488723]
🗡	[239.61607142857142, 240.28380102040816, 225.97863520408163]
🚑	[187.51830663615561, 188.77993897787948, 222.94164759725402]
👨‍⚖	[104.49122807017544, 158.6704260651629, 180.62437343358397]
🎾	[217.03794642857142, 211.4123086734694, 209.37149234693877]
🏊🏽‍♂	[217.26076555023923, 190.5817384370016, 154.10207336523126]
🙆🏼‍♀	[185.54177295918367, 124.76785714285714, 180.68941326530611]
☝	[111.39289012003694, 225.00415512465375, 249.7793167128347]
🪓	[221.24305555555554, 233.4785052910053, 249.29960317460316]
🤸🏿	[216.4719387755102, 222.2126913265306, 228.95727040816325]
🗂	[114.56140350877193, 227.19543859649121, 235.63087719298247]
💇🏼‍♀	[151.32908163265307, 165.6438137755102, 197.6935586734694]
®️	[191.95396825396824, 191.16825396825396, 195.1531746031746]
🧑‍🏭	[154.85108418367346, 168.7783801020408, 190.01466836734693]
🧑🏼‍🎨	[161.2404336734694, 196.4939413265306, 206.18813775510205]
🐮	[195.7755541871921, 216.7543103448276, 227.5905172413793]
🤷🏻‍♂	[180.3297193877551, 200.01626275510205, 154.96364795918367]
🇬🇦	[131.36995884773663, 177.29218106995884, 136.73045267489712]
🙋🏼	[113.12601078167116, 176.8992587601078, 218.91037735849056]
♠️	[148.38833746898263, 148.12655086848636, 150.11042183622828]
👬🏻	[196.2841748768473, 204.3805418719212, 189.44642857142858]
🥅	[160.55968169761275, 151.5371352785146, 209.0844385499558]
👍	[107.66723901098901, 226.02403846153845, 250.13255494505495]
🤷🏽‍♀	[180.40688775510205, 121.01371173469387, 169.23660714285714]
🗝️	[224.2762987012987, 224.2762987012987, 224.2762987012987]
🖨️	[191.46703296703296, 191.46703296703296, 191.46703296703296]
🥠	[173.44805194805195, 227.48084415584415, 240.31233766233765]
💪	[122.11734693877551, 228.9639668367347, 250.75414540816325]
🚄	[192.8113354037267, 177.2476708074534, 165.8524844720497]
👳🏿‍♀️	[185.00838192419826, 186.88155976676384, 191.83892128279882]
🧙‍♂	[183.66677295918367, 170.85905612244898, 190.4610969387755]
🚩	[172.45846273291926, 180.9363354037267, 242.76902173913044]
🤦🏼‍♀	[169.5371720116618, 153.86260932944606, 192.74672011661806]
🇵🇸	[116.41592592592593, 130.8285185185185, 130.83777777777777]
🧍🏻‍♂	[191.43252361673413, 204.10998650472334, 183.42914979757086]
🎫	[135.47753456221199, 56.574884792626726, 232.32315668202764]
🚶‍♂	[199.34545454545454, 213.1225589225589, 205.16565656565658]
🧛‍♂️	[119.09661989795919, 161.83258928571428, 199.78762755102042]
🎩	[149.9371565934066, 134.53914835164835, 131.97973901098902]
💦	[249.21173469387756, 204.0076530612245, 179.3140943877551]
🤰🏼	[189.98828125, 163.0, 210.86216517857142]
👸🏼	[162.98888140161725, 199.3406334231806, 207.35950134770889]
⏱️	[194.97214285714287, 193.88464285714286, 193.5125]
🇬🇺	[145.70851851851853, 64.3162962962963, 100.86259259259259]
🙅🏼	[130.30994897959184, 187.30739795918367, 222.53029336734693]
🔤	[232.14636479591837, 159.04113520408163, 93.9327168367347]
📳	[177.9234693877551, 172.70950255102042, 163.07174744897958]
🕳️	[146.68433179723502, 144.8790322580645, 142.2684331797235]
🦁	[111.52391581632654, 176.0653698979592, 197.72385204081633]
🏜	[98.98628826530613, 216.76658163265307, 218.23054846938774]
👙	[212.64596273291926, 185.21273291925465, 247.92546583850933]
🏄🏿‍♀	[211.55137844611528, 181.48214285714286, 154.5485588972431]
Ⓜ️	[234.3408801020408, 201.59183673469389, 170.4142219387755]
🧛‍♂	[119.09661989795919, 161.83258928571428, 199.78762755102042]
🙇‍♂	[149.83591644204853, 194.44238544474393, 171.63342318059298]
🤷🏾‍♂️	[159.62531328320802, 178.68953634085213, 140.70520050125313]
👨🏽‍🎨	[170.38711734693877, 181.39955357142858, 193.1814413265306]
💁🏿‍♂️	[161.1500626566416, 169.1422305764411, 141.53634085213034]
🤦🏿‍♂	[153.91815476190476, 162.8969494047619, 128.9624255952381]
🧎🏻‍♂️	[213.46172248803828, 215.95406698564594, 207.4488038277512]
🧊	[245.64115343538626, 204.20398718405127, 178.33570665717338]
📹	[248.34821428571428, 197.80900621118013, 164.71273291925465]
😇	[91.07844387755102, 193.5344387755102, 211.23852040816325]
🙇🏻‍♂️	[178.50606469002696, 194.80761455525607, 165.77964959568735]
👨🏽‍🎓	[141.62570028011206, 154.5140056022409, 166.02626050420167]
☪	[248.45248724489795, 74.18686224489795, 189.5577168367347]
⛹🏽‍♂️	[212.08527696793004, 220.1548833819242, 219.19460641399417]
➖	[140.7283163265306, 140.7283163265306, 140.7283163265306]
🧱	[68.19799498746868, 123.0736215538847, 215.1359649122807]
👶🏽	[141.98363095238096, 168.38988095238096, 193.21912202380952]
✖️	[188.4158163265306, 188.4158163265306, 188.4158163265306]
🇸🇽	[128.34814814814814, 94.01481481481481, 171.7685185185185]
🩲	[238.44063706563708, 208.02557915057915, 175.6177606177606]
🥜	[158.8672384219554, 215.1993138936535, 234.79245283018867]
🏵	[114.65561224489795, 174.68526785714286, 244.5420918367347]
🤦🏾‍♂️	[153.557944606414, 172.08819241982508, 145.9194606413994]
🙋🏾‍♂️	[141.1199460916442, 163.71630727762803, 134.36287061994608]
👨🏽‍🍳	[191.59885204081633, 201.58864795918367, 210.24107142857142]
🍱	[112.21289256198347, 146.79272727272726, 156.9715702479339]
🤓	[92.84952978056427, 182.9075235109718, 198.1344827586207]
🧑🏾‍🎓	[118.09134615384616, 133.0212912087912, 146.17925824175825]
💆🏻‍♀️	[170.23578717201167, 148.72849854227405, 179.76384839650146]
🤰🏽	[186.08537946428572, 140.43917410714286, 191.41852678571428]
🏃🏿‍♀️	[213.43318181818182, 198.5981818181818, 207.51954545454547]
📣	[165.03380102040816, 170.87691326530611, 238.43558673469389]
🧍🏿‍♂	[181.54197994987467, 186.82456140350877, 167.49310776942355]
🧎🏽‍♀️	[206.70909090909092, 193.63923444976078, 205.5995215311005]
👨🏽‍🦳	[191.48363095238096, 206.15959821428572, 184.27678571428572]
👩🏿‍⚖️	[112.375, 120.20426065162907, 132.35213032581453]
🚶🏾‍♀	[202.4206349206349, 186.8101851851852, 200.31150793650792]
✳️	[204.448224852071, 234.3280325443787, 197.85650887573965]
🎇	[185.5455994897959, 111.61702806122449, 119.85746173469387]
👩🏾‍⚕	[140.02901785714286, 150.86309523809524, 162.0078125]
🛡️	[134.78066770186336, 213.3513198757764, 245.64596273291926]
🌾	[178.4125874125874, 230.3272727272727, 226.6479020979021]
🏋🏾	[202.95770676691728, 212.64348370927317, 223.20802005012533]
🍌	[185.87225274725276, 241.4842032967033, 243.41723901098902]
🏃‍♀️	[208.1468181818182, 207.1990909090909, 218.37636363636364]
📡	[233.6887755102041, 199.46651785714286, 208.02551020408163]
🇮🇹	[143.4748148148148, 164.90037037037038, 171.7548148148148]
💆🏽‍♂	[149.3319970845481, 170.8341836734694, 159.2478134110787]
☀️	[169.36798469387756, 243.37308673469389, 252.97863520408163]
🕺	[193.30028195488723, 203.61936090225564, 203.1437969924812]
🧘🏿	[160.75818452380952, 181.1484375, 200.45386904761904]
🤤	[88.51942355889724, 214.69611528822054, 231.7390350877193]
🙍🏿‍♂️	[143.30393765381461, 151.798605414274, 125.13781788351108]
🧑🏾‍💼	[148.4281994047619, 154.44345238095238, 165.38541666666666]
😧	[73.67328042328042, 213.84589947089947, 230.19940476190476]
🧘🏾‍♀️	[188.1860119047619, 168.90587797619048, 198.03571428571428]
⏸️	[57.27232142857143, 165.95503826530611, 248.91007653061226]
🕹️	[215.3450255102041, 184.26466836734693, 200.2468112244898]
🧝🏻‍♂	[201.02678571428572, 217.64918154761904, 197.86644345238096]
🈹	[98.43107769423558, 100.65570175438596, 228.25]
🤽🏼‍♂	[209.9891581632653, 208.49298469387756, 191.46811224489795]
🇻🇺	[73.84296296296296, 109.95074074074074, 127.06296296296296]
🏗️	[163.6482780612245, 201.3721301020408, 216.1814413265306]
👃🏻	[209.05165289256198, 235.12272727272727, 247.48553719008265]
🔃	[243.8000637755102, 184.93654336734693, 135.97767857142858]
🗼	[216.53618421052633, 216.93656015037595, 246.84868421052633]
🧑🏿‍🤝‍🧑🏾	[174.48768472906403, 178.64316502463055, 188.7155172413793]
🙏🏾	[206.97767857142858, 193.4904336734694, 193.9856505102041]
⏲	[233.187343358396, 196.828007518797, 180.23527568922304]
🦗	[178.8096479791395, 197.0438939591482, 208.64797913950457]
🙍🏿	[99.24077112387202, 123.25758818703855, 150.3355209187859]
👨🏿‍🎨	[163.58322704081633, 166.6906887755102, 171.65625]
👨‍👧‍👧	[140.93555900621118, 183.6746894409938, 195.93827639751552]
🕣	[224.7799744897959, 221.7908163265306, 217.8858418367347]
👨🏿‍🦼	[180.34863945578232, 179.3762755102041, 184.41028911564626]
↕️	[191.68663594470047, 190.67281105990784, 194.25115207373273]
🏋🏿‍♂	[212.64160401002508, 213.61904761904762, 206.62531328320802]
👨🏿‍🍳	[185.0047831632653, 188.765625, 194.21683673469389]
🚉	[172.15509259259258, 200.93386243386243, 191.32671957671957]
💂🏽‍♀️	[117.3500744047619, 121.35379464285714, 153.00372023809524]
🕵🏻‍♂️	[171.94736842105263, 182.79793233082708, 188.27944862155388]
⛹🏼‍♂️	[216.07035714285715, 227.87892857142856, 226.11464285714285]
🥧	[145.328007518797, 185.7124060150376, 223.45363408521303]
🧑‍🦰	[85.59337797619048, 168.70349702380952, 239.13839285714286]
👩🏼‍🚀	[165.75145772594752, 194.79628279883383, 203.82215743440233]
👩🏻‍🤝‍👨🏼	[195.89470443349754, 193.11206896551724, 197.12284482758622]
🖖🏻	[198.41369047619048, 230.52232142857142, 245.8173363095238]
🙆‍♂	[136.484375, 194.87850765306123, 141.77391581632654]
👌🏻	[202.5012755102041, 232.37117346938774, 246.58886054421768]
😑	[73.02645502645503, 218.50429894179894, 234.71428571428572]
🇹🇫	[173.77851851851852, 76.10222222222222, 114.21518518518519]
🧗🏿‍♀	[156.9233449477352, 148.30705574912892, 164.59538327526133]
🏌🏻‍♀️	[223.77606177606177, 190.6969111969112, 201.94208494208493]
🇬🇾	[98.20370370370371, 165.91555555555556, 134.99370370370372]
🇨🇦	[123.6, 123.55777777777777, 249.38407407407408]
🧗🏽‍♀	[159.81663763066203, 153.71385017421602, 171.09668989547038]
🏪	[219.62053571428572, 214.13679846938774, 174.15401785714286]
❌	[147.9422831632653, 147.7751913265306, 243.66741071428572]
📦	[120.98403483309144, 211.08164005805514, 241.86465892597968]
🔆	[190.95567602040816, 224.73469387755102, 249.22799744897958]
💪🏼	[186.51660401002508, 214.0861528822055, 230.37280701754386]
🧑🏻‍✈	[139.87053571428572, 155.51934523809524, 161.87686011904762]
🇧🇳	[98.6725925925926, 198.76666666666668, 205.42518518518517]
🌨	[251.9751984126984, 232.45171957671957, 219.35185185185185]
🧥	[189.2267857142857, 96.05892857142857, 136.39785714285713]
💇🏽‍♀	[148.53029336734693, 129.6530612244898, 166.10841836734693]
🦶🏾	[169.72384665367122, 191.14619883040936, 212.6575698505523]
👩🏼‍⚖️	[124.67324561403508, 169.16979949874687, 186.30075187969925]
🦞	[147.5633971291866, 148.40749601275917, 234.62599681020734]
👩🏻‍🦰	[157.06473214285714, 140.75037202380952, 217.60193452380952]
⛹🏼‍♀️	[216.55928571428572, 215.4625, 230.42892857142857]
